id;first_name;last_name;email;country;car;card;work_sector
1;Giraldo;Bettam;Giraldo.Bettam@ctest.fr;France;Lincoln;visa;
2;Jocelyn;Redington;Jocelyn.Redington@ctest.fr;France;Plymouth;maestro;
3;Sadye;Ranscombe;Sadye.Ranscombe@ctest.fr;France;Dodge;mastercard;n/a
4;Wenonah;Albon;Wenonah.Albon@ctest.fr;France;Ford;americanexpress;Consumer Durables
5;Conant;Merigon;;France;;maestro;Health Care
6;Adlai;De Stanbra;Adlai.De Stanbra@ctest.fr;France;Audi;maestro;
7;Felizio;Stern;Felizio.Stern@ctest.fr;France;Mercury;maestro;Consumer Services
8;Myrta;Boston;Myrta.Boston@ctest.fr;Spain;Infiniti;mastercard;Miscellaneous
9;Fairlie;Naisbit;;France;;americanexpress;n/a
10;Abe;Hardaway;Abe.Hardaway@ctest.fr;France;Chevrolet;visa;
11;Alyse;Schimann;;France;;americanexpress;
12;Madelyn;Saggs;Madelyn.Saggs@ctest.fr;France;Volkswagen;visa;Finance
13;Bartie;Licciardiello;;France;;visa;Public Utilities
14;Myrle;Mumbeson;;France;;maestro;Miscellaneous
15;Indira;Jaqueme;Indira.Jaqueme@ctest.fr;France;Hummer;americanexpress;
16;Winston;Braunton;Winston.Braunton@ctest.fr;France;Ford;visa;
17;Ken;Gerding;;France;;maestro;Finance
18;Grenville;Minogue;Grenville.Minogue@ctest.fr;France;Jeep;mastercard;Capital Goods
19;Lind;Barlie;Lind.Barlie@ctest.fr;Spain;Ford;americanexpress;Public Utilities
20;Bess;Berrington;Bess.Berrington@ctest.fr;France;Ford;maestro;
21;Bibi;Francillo;Bibi.Francillo@ctest.fr;France;Suzuki;visa;
22;Burnaby;O' Dornan;;France;;mastercard;Finance
23;Ediva;Reape;;Spain;;visa;Finance
24;Mirilla;Basill;;France;;maestro;Consumer Services
25;Dido;Atchly;Dido.Atchly@ctest.fr;France;Buick;maestro;Technology
26;Konstantin;Shrigley;;Spain;;mastercard;Finance
27;Leanor;Cockren;Leanor.Cockren@ctest.fr;France;Mitsubishi;mastercard;
